MSSubClass;MSZoning;LotFrontage;LotArea;Street;LotShape;LandContour;Utilities;LotConfig;LandSlope;...;PoolArea;MiscVal;MoSold;YrSold;SaleType;SaleCondition;TotalArea;Bathrooms;YearAverage;PrecioVenta
60;RL;65.0;8450;Pave;Reg;Lvl;AllPub;Inside;Gtl;...;0;0;2;2008;WD;Normal;4824.0;2.5;2003.0;
20;RL;80.0;9600;Pave;Reg;Lvl;AllPub;FR2;Gtl;...;0;0;5;2007;WD;Normal;4246.0;2.0;1976.0;
60;RL;68.0;11250;Pave;IR1;Lvl;AllPub;Inside;Gtl;...;0;0;9;2008;WD;Normal;5100.0;2.5;2001.5;
70;RL;60.0;9550;Pave;IR1;Lvl;AllPub;Corner;Gtl;...;0;0;2;2006;WD;Abnorml;4832.0;1.0;1942.5;
60;RL;84.0;14260;Pave;IR1;Lvl;AllPub;FR2;Gtl;...;0;0;12;2008;WD;Normal;6377.0;2.5;2000.0;
160;RM;21.0;1936;Pave;Reg;Lvl;AllPub;Inside;Gtl;...;0;0;6;2006;WD;Normal;2730.0;1.5;1970.0;
160;RM;21.0;1894;Pave;Reg;Lvl;AllPub;Inside;Gtl;...;0;0;4;2006;WD;Abnorml;3016.0;1.5;1970.0;
20;RL;160.0;20000;Pave;Reg;Lvl;AllPub;Inside;Gtl;...;0;0;9;2006;WD;Abnorml;4248.0;1.0;1978.0;
85;RL;62.0;10441;Pave;Reg;Lvl;AllPub;Inside;Gtl;...;0;700;7;2006;WD;Normal;2852.0;1.0;1992.0;
60;RL;74.0;9627;Pave;Reg;Lvl;AllPub;Inside;Mod;...;0;0;11;2006;WD;Normal;5646.0;2.5;1993.5;
